epoch,global_step,train_loss,holdout_loss,holdout_composite_score,best_composite_score,holdout_sym_mean,holdout_sym_p95,holdout_manual_point_mean,holdout_manual_point_p95,holdout_manual_point_sr1,holdout_manual_point_sr2,holdout_manual_point_count,holdout_no_curve_count,holdout_bad_rate,h_pred_max,h_pred_p99,vox03,vox03_total,cc_count,lcc_ratio,wrap_coverage,hard_case_count,score_active,score_loss_component,score_sym_p95_component,score_no_curve_count_component,score_manual_point_p95_component,score_manual_point_sr1_miss_component,score_bad_rate_component,score_vox03_empty_component,score_cc_count_component,score_wrap_miss_component,score_hard_case_viewer_component,hard_case_sym_p95,hard_case_no_curve_count,hard_case_bad_rate,best_epoch,is_best,epochs_without_improve
0,491,0.4127555478614605,0.41695616917794687,1.1269235586890927,,1.131839632987976,2.4494898319244385,1.0832767486572266,2.2588469386100765,0.5467521721141911,0.9214935870914357,9668,0,0.8716904276985743,0.9997128844261169,0.14045109753183627,7245.299389002037,3557442,1.0122199592668024,0.9988235590771359,0.518882546456159,12,0,1.1913033405084197,1.2247449159622192,0.0,1.1294234693050382,0.45324782788580886,0.8716904276985743,0.0,0.003054989816700604,0.48111745354384094,1.0961373996734614,4.2306869983673066,0,1.0,,0,0
1,982,0.40443262014758075,0.4074279003133599,1.0646908766321175,,1.0709706544876099,2.2360680103302,1.0253912210464478,2.1364327073097225,0.5748862225899876,0.9370086884567645,9668,0,0.7922606924643585,0.9998462200164795,0.16988161489476294,7659.794297352342,3760959,1.0061099796334012,0.9999697210945414,0.5431840204518402,12,0,1.1640797151810283,1.1180340051651,0.0,1.0682163536548612,0.42511377741001244,0.7922606924643585,0.0,0.001527494908350302,0.4568159795481598,1.126309299468994,4.38154649734497,0,1.0,,0,0
2,1473,0.4035541981519361,0.4069872127652411,1.1113502378244078,,1.104569673538208,2.2360680103302,1.0590381622314453,2.213928747177124,0.5551303268514688,0.9289408357467935,9668,0,0.8676171079429735,0.999896764755249,0.19677650502117064,7941.745417515275,3899397,1.0244399185336048,0.9984854759404557,0.5305009095508978,12,0,1.1628206079006889,1.1180340051651,0.0,1.106964373588562,0.4448696731485312,0.8676171079429735,0.0,0.006109979633401208,0.4694990904491022,1.4665525436401368,6.082762718200684,0,1.0,,0,0
3,1964,0.4032129597396812,0.4069637922065564,1.0757787432212518,,1.0962059497833252,2.2360680103302,1.0436652898788452,2.135694074630737,0.5637153496069508,0.935043442283823,9668,0,0.845213849287169,0.999828577041626,0.17606760859451454,7749.5458248472505,3805027,1.0183299389002036,0.9999501238492432,0.5315629234250071,12,0,1.1627536920187325,1.1180340051651,0.0,1.0678470373153686,0.4362846503930492,0.845213849287169,0.0,0.004582484725050906,0.4684370765749929,1.2599019527435302,5.049509763717651,0,1.0,,0,0
4,2455,0.4025958816534147,0.3985036981809892,1.0086890358740888,,1.0558286905288696,2.2360680103302,0.9918568730354309,1.9830264389514922,0.5973314025651634,0.9513860157219693,9668,0,0.7963340122199593,0.9998970031738281,0.1728842429754502,7841.541751527495,3850197,1.0142566191446027,0.9999614286147012,0.5546128897723791,12,0,1.1385819948028264,1.1180340051651,0.0,0.9915132194757461,0.40266859743483663,0.7963340122199593,0.0,0.003564154786150686,0.4453871102276209,1.0083333333333333,4.0,0,0.8333333333333334,,0,0
5,2946,0.40103704854087285,0.39967635316421446,1.0650357931479013,1.0650357931479013,1.108590006828308,2.2360680103302,1.0261616706848145,2.085101866722106,0.5736450144807613,0.9413529168390566,9668,0,0.8309572301425662,0.9999581575393677,0.22881478958141716,8371.360488798371,4110338,1.0509164969450102,0.9999156852306688,0.542011753978622,12,1,1.1419324376120414,1.1180340051651,0.0,1.042550933361053,0.42635498551923867,0.8309572301425662,0.0,0.012729124236252554,0.457988246021378,1.418744187355041,5.843720936775205,0,1.0,5,1,0
6,3437,0.4002292434212632,0.39899490406459803,0.9811892396095446,0.9811892396095446,1.0127619504928589,2.2360680103302,0.9580346941947937,1.9438244581222535,0.6269135291683906,0.9549027720314439,9668,0,0.7006109979633401,0.9998086094856262,0.14964138998676893,7640.468431771894,3751470,1.0122199592668024,0.9999796993600922,0.573817734460688,12,1,1.139985440184566,1.1180340051651,0.0,0.9719122290611267,0.3730864708316094,0.7006109979633401,0.0,0.003054989816700604,0.42618226553931204,0.8817348074913012,3.471174037456506,0,0.75,6,1,0
