epoch,case_id,tooth_id,is_hard_case,sym_mean,sym_p95,gt_to_pred_mean,pred_to_gt_mean,no_curve,h_pred_max,h_pred_p99,vox03,cc_count,lcc_ratio,wrap_coverage,pred_curve_voxels,gt_curve_voxels
22,ToothFairy3F_040,32,1,1.5855144262313843,3.1622776985168457,1.720970630645752,0.9119438529014587,0,0.9971861243247986,0.0003569358788081435,3078,1,1.0,0.33608815426997246,73,363
22,ToothFairy3F_040,41,1,2.308043956756592,5.356812858581536,2.4921395778656006,1.3408942222595215,0,0.9937160611152649,0.0005251395056256643,3152,1,1.0,0.2546916890080429,71,373
22,ToothFairy3F_040,42,1,2.290105104446411,6.418647575378417,2.477590799331665,1.3396551609039307,0,0.9943833351135254,0.0004196382444933951,3236,1,1.0,0.2602739726027397,72,365
22,ToothFairy3F_044,31,1,3.7679786682128906,6.726735353469849,3.996476173400879,2.54388427734375,0,0.9941707253456116,0.00044630109361605563,2866,1,1.0,0.0033333333333333335,56,300
22,ToothFairy3F_044,32,1,2.4471607208251953,4.582575798034668,2.6179003715515137,1.5570756196975708,0,0.9955981373786926,0.0005130769161041858,3986,1,1.0,0.14779874213836477,61,318
22,ToothFairy3F_044,36,1,3.5987448692321777,8.66025447845459,2.817038059234619,4.7027201652526855,0,0.999575674533844,0.2174770237505423,11428,2,0.9999124956247812,0.1122754491017964,473,668
22,ToothFairy3F_044,46,1,3.8617630004882812,7.6157732009887695,3.999053478240967,3.2200329303741455,0,0.9990398287773132,0.04905918888747656,10366,1,1.0,0.06645056726094004,132,617
22,ToothFairy3F_052,31,1,3.534552574157715,8.66025447845459,3.8729772567749023,1.9671128988265991,0,0.943510115146637,0.000123895294818795,481,3,0.40332640332640335,0.16477272727272727,76,352
22,ToothFairy3F_052,32,1,3.0595157146453857,5.385164737701416,3.249437093734741,1.9832955598831177,0,0.9960009455680847,0.0002455220260890213,1559,2,0.9134060295060936,0.08695652173913043,69,391
22,ToothFairy3F_052,33,1,2.7451696395874023,8.086970138549804,3.033428907394409,1.4603551626205444,0,0.994845986366272,0.0005842175986617822,1821,2,0.9615595826468973,0.19230769230769232,105,468
22,ToothFairy3F_052,41,1,4.108325481414795,10.0,4.459219932556152,1.8216651678085327,0,0.9735930562019348,9.564751439029192e-05,454,2,0.9383259911894273,0.16624040920716113,60,391
22,ToothFairy3F_052,42,1,3.667884349822998,10.049875259399414,3.974752187728882,2.0414845943450928,0,0.9795524477958679,0.00011687713282299227,1427,1,1.0,0.12668463611859837,70,371
