experiment,status,best_epoch,best_composite_score,best_holdout_loss,best_holdout_sym_p95,best_holdout_no_curve_count,best_holdout_bad_rate,best_wrap_coverage,best_hard_case_viewer_component,best_hard_case_sym_p95,best_hard_case_no_curve_count,best_hard_case_bad_rate,hard_case_viewer,early_stop_metric,best_checkpoint,package_path
exp00_baseline_dicece,success,22,1.1749675546089684,0.5202758060051844,9.0,0,0.4307692307692308,0.26242619368993847,1.6982071533203122,18.883839416503903,0,0.75,/root/cej_isolated_runs/C/cej_loss_earlystop_20260507_004/experiments/exp00_baseline_dicece/outputs/train/holdout_analysis/hard_case_viewers/best_hard_case_viewer.html,holdout_composite_score,/root/cej_isolated_runs/C/cej_loss_earlystop_20260507_004/experiments/exp00_baseline_dicece/outputs/train/checkpoints/best.pt,/root/cej_isolated_runs/C/cej_loss_earlystop_20260507_004/experiments/exp00_baseline_dicece/package/exp00_baseline_dicece_training_bundle.tar.gz
exp01_dice_focal_bce,success,24,0.9385958497489517,0.5035715075639579,6.4031243324279785,0,0.3384615384615385,0.2703520096960256,1.2667590332031249,13.490737915039062,0,0.75,/root/cej_isolated_runs/C/cej_loss_earlystop_20260507_004/experiments/exp01_dice_focal_bce/outputs/train/holdout_analysis/hard_case_viewers/best_hard_case_viewer.html,holdout_composite_score,/root/cej_isolated_runs/C/cej_loss_earlystop_20260507_004/experiments/exp01_dice_focal_bce/outputs/train/checkpoints/best.pt,/root/cej_isolated_runs/C/cej_loss_earlystop_20260507_004/experiments/exp01_dice_focal_bce/package/exp01_dice_focal_bce_training_bundle.tar.gz
exp02_focal_hard_sampling,success,10,1.3777890071701904,0.5535280502759493,12.041594505310059,0,0.4,0.23093174747707138,1.6999488321940106,18.384777069091797,0,0.9166666666666666,/root/cej_isolated_runs/C/cej_loss_earlystop_20260507_004/experiments/exp02_focal_hard_sampling/outputs/train/holdout_analysis/hard_case_viewers/best_hard_case_viewer.html,holdout_composite_score,/root/cej_isolated_runs/C/cej_loss_earlystop_20260507_004/experiments/exp02_focal_hard_sampling/outputs/train/checkpoints/best.pt,/root/cej_isolated_runs/C/cej_loss_earlystop_20260507_004/experiments/exp02_focal_hard_sampling/package/exp02_focal_hard_sampling_training_bundle.tar.gz
exp03_skeleton_aux_loss,success,22,0.8143920010183066,0.5032707026371589,5.099019527435303,0,0.24615384615384617,0.281817291073379,1.0123233540852865,10.049875259399414,0,0.8333333333333334,/root/cej_isolated_runs/C/cej_loss_earlystop_20260507_004/experiments/exp03_skeleton_aux_loss/outputs/train/holdout_analysis/hard_case_viewers/best_hard_case_viewer.html,holdout_composite_score,/root/cej_isolated_runs/C/cej_loss_earlystop_20260507_004/experiments/exp03_skeleton_aux_loss/outputs/train/checkpoints/best.pt,/root/cej_isolated_runs/C/cej_loss_earlystop_20260507_004/experiments/exp03_skeleton_aux_loss/package/exp03_skeleton_aux_loss_training_bundle.tar.gz
exp04_surface_soft_constraint,success,35,0.81957415098876,0.49646820976183964,5.0,0,0.23076923076923078,0.2999643324874445,1.1299942270914713,12.041594505310059,0,0.6666666666666666,/root/cej_isolated_runs/C/cej_loss_earlystop_20260507_004/experiments/exp04_surface_soft_constraint/outputs/train/holdout_analysis/hard_case_viewers/best_hard_case_viewer.html,holdout_composite_score,/root/cej_isolated_runs/C/cej_loss_earlystop_20260507_004/experiments/exp04_surface_soft_constraint/outputs/train/checkpoints/best.pt,/root/cej_isolated_runs/C/cej_loss_earlystop_20260507_004/experiments/exp04_surface_soft_constraint/package/exp04_surface_soft_constraint_training_bundle.tar.gz
