label,target_fraction,actual_case_fraction,actual_tooth_fraction,case_count,tooth_dir_count,selected_threshold,validation_status,mean_dist_mm,p95_dist_mm,sr@1.0mm,missing_prediction_count,no_curve_count,failed_tooth_count,failed_or_bad_teeth_count,best_epoch,best_composite_score,best_holdout_loss
pct020,0.2,0.1875,0.18309859154929578,3,91,0.25,FAIL,3.635134696960449,19.5793439865093,0.596078431372549,0,3,3,23,12,2.265697469824363,0.6270031612652999
pct040,0.4,0.375,0.3762575452716298,6,187,0.25,FAIL,2.678040027618408,4.240299558639524,0.6776470588235294,0,2,2,15,29,2.074040203394331,0.5755093193971194
pct060,0.6,0.625,0.6297786720321932,10,313,0.2,FAIL,2.5038938522338867,3.8665997028350816,0.7490196078431373,0,2,2,12,34,1.8486273927950014,0.5464233756065369
pct080,0.8,0.8125,0.8128772635814889,13,404,0.25,FAIL,0.9093066453933716,3.517451691627502,0.76,0,0,0,10,22,1.3966466113598703,0.5417126270440908
pct100,1.0,1.0,1.0,16,497,0.25,PASS_USABLE,0.6279016137123108,1.4172926664352414,0.8462745098039216,0,0,0,3,15,0.9502584052029794,0.48950508878781246
